source_id,member_id,experiment_id,scenario,city,state,lat,lon,grid_lat,grid_lon_0_360,year,temp_k,temp_c,baseline_temp_c,temp_anomaly_c,baseline_period
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1982,291.09076,17.940765,19.508799,-1.5680332,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1983,291.24625,18.096252,19.508799,-1.4125462,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1984,292.15695,19.006958,19.508799,-0.5018406,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1985,292.05038,18.90039,19.508799,-0.608408,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1986,292.16287,19.012878,19.508799,-0.49592018,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1987,292.49255,19.34256,19.508799,-0.16623878,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1988,291.12146,17.971466,19.508799,-1.5373325,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1989,292.70395,19.553955,19.508799,0.04515648,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1990,292.2664,19.116394,19.508799,-0.39240456,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1991,290.5184,17.368408,19.508799,-2.1403904,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1992,291.99838,18.848389,19.508799,-0.6604099,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1993,291.93753,18.787537,19.508799,-0.721262,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1994,292.40634,19.256348,19.508799,-0.25245094,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1995,292.1088,18.958801,19.508799,-0.5499973,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1996,292.51212,19.362122,19.508799,-0.14667702,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1997,292.37677,19.226776,19.508799,-0.28202248,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1998,292.05698,18.906982,19.508799,-0.6018162,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,1999,293.0781,19.9281,19.508799,0.419302,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2000,293.42465,20.274658,19.508799,0.7658596,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2001,293.77823,20.628235,19.508799,1.1194363,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2002,292.10434,18.954346,19.508799,-0.5544529,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2003,292.88846,19.738464,19.508799,0.22966576,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2004,292.63916,19.489166,19.508799,-0.01963234,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2005,292.47406,19.324066,19.508799,-0.18473244,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2006,291.5106,18.360596,19.508799,-1.1482029,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2007,293.0342,19.884216,19.508799,0.3754177,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2008,292.6977,19.547699,19.508799,0.038900375,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2009,293.10083,19.950836,19.508799,0.44203758,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2010,293.03024,19.880249,19.508799,0.37145042,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2011,292.22623,19.076233,19.508799,-0.4325657,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2012,292.97366,19.82367,19.508799,0.31487083,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2013,292.58246,19.432465,19.508799,-0.076334,1995-2014
CESM2,r4i1p1f1,historical,Historical,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2014,292.57828,19.428284,19.508799,-0.08051491,1995-2014
